Car;8er coupé;BMW;black;24.01.2020;200 HP;24.01.2020;69420;4
Car;Grand Tourismo;BMW;red;24.01.2020;170 HP;24.01.2020;12345;4
Car;4er cabrio;BMW;blue;24.01.2020;150 HP;24.01.2020;00000;4
ElectroCar;Modell 3;Tesla;blue;24.01.2020;200 HP;24.01.2020;10 hours
ElectroCar;Modell S;Tesla;white;24.01.2020;220 HP;24.01.2020;15 hours
ElectroCar;Modell X;Tesla;white;24.01.2020;250 HP;24.01.2020;24 hours
Truck;normal Truck;Mercedes;white;24.01.2020;150 HP;24.01.2020;54321;1000 Kg
Truck;mega Truck;Mercedes;white;24.01.2020;150 HP;24.01.2020;5318008;2000 Kg
Truck;ultra Truck;Mercedes;black with flames on the side;24.01.2020;150 HP;24.01.2020;I dont even know anymore;5000 Kg
ElectroCar;Modell Y;tesla;pink;24.10.2020;500;today;months
